epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20421,2.9218,6.88467,4.6136,2.87886,0.00076,0.36364,0.01146,0.00467,0.00019,0.09091,0.0001,3e-05,2.42827,4.67338,5.12823,3.33018,0.00032,0.00032,0.00032
2,7.03066,2.42366,4.16308,4.2068,2.35091,0.00057,0.27273,0.0069,0.00335,0.00029,0.13636,0.00038,5e-05,2.78248,5.48288,5.3459,4.01129,0.000653466,0.000653466,0.000653466
3,9.74451,2.38898,4.16835,3.88302,2.28687,0.00114,0.54545,0.00121,0.00043,0.00057,0.27273,0.00042,0.00014,2.74646,6.78783,6.29568,3.95826,0.0009802,0.0009802,0.0009802
4,12.3351,2.41097,4.05803,3.6568,2.2102,0.00114,0.54545,0.00848,0.00213,0.0001,0.04545,5e-05,1e-05,3.30555,25.9202,6.13233,5.14485,0.0013002,0.0013002,0.0013002
5,15.0843,2.41004,4.12476,3.35685,2.19453,0.0121,0.13636,0.00576,0.00187,0.00029,0.13636,0.00038,4e-05,2.62104,57.6593,5.25777,5.16362,0.00161347,0.00161347,0.00161347
6,17.6974,2.30301,4.07764,3.08872,2.17754,0.00573,0.22727,0.00248,0.00065,0,0,0,0,3.18845,94.6318,396.867,37.1414,0.001901,0.001901,0.001901
7,20.4849,2.33995,4.03805,3.0335,2.25616,0.00095,0.45455,0.0021,0.00034,0.00038,0.18182,0.00026,4e-05,3.51246,33.1737,4.00952,6.70488,0.0018812,0.0018812,0.0018812
8,23.1352,2.24787,3.7987,2.95508,2.28467,0.38295,0.04545,0.07965,0.02466,0.00095,0.45455,0.01167,0.00527,2.53556,5.6081,3.58769,3.00647,0.0018614,0.0018614,0.0018614
9,25.7828,2.33907,3.85059,2.83651,2.22301,0.00095,0.45455,0.00178,0.00045,0.00086,0.40909,0.00801,0.00159,2.56078,15.5771,4.50597,4.38362,0.0018416,0.0018416,0.0018416
10,28.345,2.21193,3.74286,2.78337,2.1632,0.18551,0.27273,0.16643,0.04604,0.19183,0.31818,0.15387,0.05074,2.32268,3.69008,3.32312,2.63915,0.0018218,0.0018218,0.0018218
11,30.953,2.14956,3.86361,2.82638,2.14962,0.01093,0.27273,0.04724,0.01574,0.00581,0.36364,0.00987,0.00211,2.21414,5.05631,3.88188,2.62473,0.001802,0.001802,0.001802
12,33.6055,2.22324,3.90312,2.73779,2.27759,0.18911,0.22727,0.18382,0.06374,0.18911,0.22727,0.17348,0.05042,2.3285,3.92993,3.64903,2.69495,0.0017822,0.0017822,0.0017822
13,36.2079,2.24124,3.73788,2.71149,2.25955,0.0071,0.22727,0.05133,0.03343,0.0071,0.22727,0.04986,0.02794,2.25467,3.9636,4.3732,2.60985,0.0017624,0.0017624,0.0017624
14,38.7315,2.26998,3.8013,2.68323,2.27608,0.18371,0.22727,0.18097,0.05835,0.169,0.18182,0.15049,0.05817,2.18161,3.96248,2.56883,2.58496,0.0017426,0.0017426,0.0017426
15,41.2893,2.27394,3.7896,2.71647,2.28796,0.47905,0.13636,0.098,0.02441,0.49735,0.13636,0.0838,0.01639,2.23215,4.77204,3.77514,2.47351,0.0017228,0.0017228,0.0017228
16,43.9503,2.19118,3.83775,2.50676,2.23984,0.21077,0.36364,0.23386,0.1027,0.2223,0.36364,0.24033,0.08918,2.20698,4.13862,2.93134,3.14085,0.001703,0.001703,0.001703
17,46.6013,2.2245,3.69597,2.48633,2.22411,0.29703,0.18182,0.21331,0.08172,0.29877,0.18182,0.18945,0.05307,2.12111,4.21151,2.85754,2.64558,0.0016832,0.0016832,0.0016832
18,49.4735,2.21984,3.51868,2.37279,2.19382,0.40501,0.40909,0.31558,0.1344,0.35151,0.40909,0.30471,0.11679,2.02252,3.42744,2.14396,2.43044,0.0016634,0.0016634,0.0016634
19,52.1566,2.19759,3.60557,2.43528,2.25215,0.36217,0.31818,0.25934,0.10718,0.40789,0.36364,0.29905,0.10755,2.01826,3.82983,2.71379,2.42675,0.0016436,0.0016436,0.0016436
20,54.8119,2.24514,3.58497,2.47166,2.21134,0.41203,0.31818,0.21579,0.07186,0.43864,0.31818,0.23242,0.06965,1.99554,3.36963,2.58186,2.5318,0.0016238,0.0016238,0.0016238
21,57.4204,2.15963,3.59767,2.36725,2.14902,0.35884,0.31818,0.2701,0.09934,0.32282,0.27273,0.22849,0.09305,2.07764,3.47049,2.26674,2.44218,0.001604,0.001604,0.001604
22,60.0133,2.11983,3.5682,2.44785,2.19176,0.20922,0.27273,0.23274,0.07794,0.20922,0.27273,0.20361,0.07473,2.03526,3.60875,2.52447,2.51616,0.0015842,0.0015842,0.0015842
23,62.6157,2.09451,3.72073,2.40818,2.14359,0.31875,0.18182,0.13384,0.06299,0.39038,0.22727,0.14559,0.04884,2.1903,3.47223,2.51157,2.5652,0.0015644,0.0015644,0.0015644
24,65.1507,2.09751,3.4821,2.35707,2.0563,0.25012,0.36364,0.30099,0.11566,0.28092,0.40844,0.29101,0.10588,1.7754,3.28657,2.60441,2.28963,0.0015446,0.0015446,0.0015446
25,67.654,2.03236,3.47868,2.18443,2.06541,0.30932,0.46849,0.28911,0.09183,0.28339,0.45455,0.24627,0.09104,1.95768,3.28959,2.298,2.43384,0.0015248,0.0015248,0.0015248
26,70.2414,2.05717,3.56086,2.26718,2.05503,0.2721,0.22727,0.23622,0.07509,0.31932,0.27273,0.24931,0.07708,1.98958,3.28171,2.7045,2.42786,0.001505,0.001505,0.001505
27,73.0432,2.01838,3.55337,2.12056,2.0209,0.33843,0.34924,0.26025,0.12287,0.33843,0.34924,0.24948,0.10196,1.84504,3.175,2.49378,2.2898,0.0014852,0.0014852,0.0014852
28,75.6744,2.00118,3.49054,2.12257,2.03353,0.3233,0.3479,0.24516,0.09713,0.3233,0.3479,0.22361,0.08602,1.9958,3.1948,2.1117,2.39441,0.0014654,0.0014654,0.0014654
29,78.2682,2.02058,3.40744,2.17294,2.08945,0.40195,0.36364,0.35538,0.16511,0.44731,0.40487,0.32708,0.1314,1.78707,3.13012,2.04289,2.28636,0.0014456,0.0014456,0.0014456
